issn,issn_l,publisher
2179-1074,2179-1074,SciELO - Scientific Eletronic Library Online|SciELO
2179-2275,2179-2275,Universidade de São Paulo. Faculdade de Arquitetura e Urbanismo
2179-3948,2178-9479,
2179-5746,2179-5746,Universidade Federal do Amapá
2179-5800,2177-2061,SciELO
2179-6386,2179-6386,Universidade Estadual de Goiás-UEG
2179-703X,2179-703X,Pontifícia Universidade Católica do Rio Grande do Sul
2179-7943,1519-5899,"Universidade do Oeste de Santa Catarina, UNOESC|Universidade do Oeste de Santa Catarina"
2179-8451,1677-1966,SciELO - Scientific Eletronic Library Online|SciELO
2179-8834,1518-3025,
2180-0650,2180-0650,
2180-124X,2180-124X,
2180-1363,2180-1363,
2180-1371,2180-1371,
2180-1541,,
2180-1606,2180-1606,
2180-2165,2180-2165,
2180-2726,2180-2726,Faculty of Language and Communication
2180-3242,2180-3242,
2180-4184,1394-2603,Universiti Sains Malaysia Press
2181-0842,2181-0842,
2182-0309,2182-0309,
2182-1097,2182-1097,
2182-4339,2182-4339,
2182-438X,2182-438X,Leibniz Institute for Psychology
2182-5114,1646-1223,
2182-5173,2182-5173,
2182-9446,0874-1409,
2183-1165,1646-6918,SciELO
2183-1335,2183-1335,
2183-380X,2183-380X,
2183-6396,2183-6396,
2183-6663,2183-6663,
2183-802X,2183-802X,
2184-3082,2184-3082,Ponteditora
2184-3090,2184-3090,
2184-7509,2184-7509,Ponteditora
2185-2839,2185-2839,
2185-4505,2185-4505,
2185-9493,2185-9493,J-STAGE
2186-7275,2186-7275,
2187-1191,2187-1191,
2189-7247,2189-7247,
2190-0493,2190-0493,
2190-4677,2190-4677,
2190-4995,2190-4995,Copernicus Publications
2190-5517,2190-5517,Springer|Springer Nature|Springer-Verlag
2190-5533,2190-5525,Springer Nature|Springer
2190-5738,2190-5738,Springer Nature|Springer
2190-7579,1027-8591,Springer|Springer Nature|World Gold Council|Springer-Verlag
2190-8532,2190-8532,Springer|Springer Nature|SpringerOpen
2190-8567,2190-8567,Springer Nature|Springer|SpringerOpen
2190-9180,2190-9180,Springer
2191-253X,2191-253X,
2191-2858,2191-2858,Springer Nature|Springer|SpringerOpen
2191-5059,2191-5059,Springer|Springer Nature|SpringerOpen
2191-9127,2191-9127,
2192-1121,2192-1121,Springer|Springer Nature
2192-1962,2192-1962,Springer Nature|Springer|SpringerOpen
2192-2608,2192-2608,
2192-4880,2192-4880,International Association of Online Engineering
2193-0414,2193-0414,Springer Nature|SpringerOpen|Springer
2193-0872,2193-0872,Copernicus Publications
2193-1801,2193-1801,Springer|Springer Nature|SpringerOpen
2193-3472,2193-3472,ISPACS GmbH
2193-4169,2193-4169,ISPACS GmbH
2193-4215,2193-4215,ISPACS GmbH
2193-7281,2193-7281,Leibniz Institute for Psychology
2193-8865,2008-9244,Springer Nature|SpringerOpen|Springer
2193-9616,2193-9616,Springer|Springer Nature|Springer Open|SpringerOpen
2193-9772,2193-9764,SpringerOpen|Springer|Springer Nature
2194-0266,2194-0266,ISPACS GmbH
2194-0517,2194-0517,Springer Nature|Springer|Springer-Verlag|SpringerOpen
2194-0827,2194-0827,Springer|SpringerOpen|Springer Nature
2194-3206,2194-3206,Springer|Springer Nature|SpringerOpen
2194-3710,2194-3710,
2194-3907,2194-3907,ISPACS GmbH
2194-3990,2194-3990,Springer Nature|Springer|SpringerOpen
2194-6434,2194-6434,Springer Nature|SpringerOpen|Springer
2194-8992,2194-8992,
2195-0008,2195-0008,EDP Sciences|Springer Nature|Springer|SpringerOpen
2195-173X,2195-173X,
2195-3007,2195-3007,SpringerOpen|Springer Nature|Springer
2195-4372,2195-4372,ISPACS GmbH
2195-4496,2195-4496,ISPACS GmbH
2195-576X,2195-576X,ISPACS GmbH
2195-5832,2195-5832,Springer|Springer Nature|SpringerOpen
2195-5840,2190-9164,
2195-7614,2195-7614,Leibniz Institute for Psychology
2195-7819,2195-7819,SpringerOpen|Springer Nature|Springer
2195-9269,2195-9269,Copernicus Publications
2196-0089,2196-0089,SpringerOpen|Springer Nature|Springer
2196-064X,2196-064X,Springer Nature|SpringerOpen|Springer
2196-1166,2196-1166,SpringerOpen|Springer Nature|Springer
2196-1581,2196-1581,
2196-288X,2196-288X,Springer|SpringerOpen|Springer International Publishing|Springer Nature
2196-3258,2196-3258,Springer Nature|Springer
2196-419X,2196-419X,Springer|Springer Nature|SpringerOpen
2196-4351,2196-4351,Springer Nature|Springer|SpringerOpen
2196-5633,2196-5633,"Springer|DeGruyter|De Gruyter|Springer Nature|Walter de Gruyter, Inc."
2196-629X,2196-629X,
2196-6338,2196-6338,Copernicus Publications
2196-8136,2196-8136,
2196-8802,2196-8802,SpringerOpen|Springer|Springer Nature
2196-9485,2196-3363,
2197-3768,2197-3768,SpringerOpen|Springer Nature|Springer
2197-411X,2197-411X,
2197-4314,2197-4314,Springer Nature|Springer|SpringerOpen
2197-5248,2197-5248,Jacobs Publishing House
2197-6481,2197-6481,
2197-6678,2197-6678,Springer Nature|De Gruyter|Springer
2197-7909,2197-7909,Springer Nature|Springer|Springer International Publishing
2197-8581,2197-8581,International Association of Online Engineering (IAOE)|International Association of Online Engineering
2197-9847,2197-9847,Springer|Springer Nature|SpringerOpen
2198-0926,2198-0926,Springer Nature|Springer|Springer International Publishing
2198-2619,2198-2619,Springer|Springer Singapore|Springer Nature
2198-3534,2198-3534,Brill|Springer Nature|Springer
2198-4093,2198-4093,"Biomedpress|BioMedPress|Springer International Publishing AG, Switzerland"
2198-4999,2198-4999,
2198-5634,2198-5634,Copernicus Publications
2198-7874,2198-7874,Springer|Springer Nature|Springer International Publishing
2198-977X,2199-1162,Springer Nature|Springer|Springer International Publishing
2199-4579,2199-4579,Springer|Springer Nature
2199-6067,0351-2851,"De Gruyter|De Gruyter Open Sp. z o.o.|Walter de Gruyter, Inc."
2199-7233,1018-4171,BioOne
2200-3452,2200-3452,
2200-6591,,
2200-7571,2200-4904,
2201-1560,2201-1560,
2201-179X,2201-179X,
2201-5655,2201-5655,
2201-7275,2201-7275,
2202-2546,2202-2546,
2202-6169,1444-4496,
2202-7904,1329-1440,
2202-9451,2202-9451,Australian International Academic Centre PTY. LTD.
2202-946X,2202-946X,Australian International Academic Centre PTY. LTD.
2202-9478,2202-9478,Australian International Academic Centre PTY. LTD.
2203-1413,2203-1413,Australian International Academic Centre PTY. LTD.
2203-4692,2203-4692,
2203-4714,2203-4714,Australian International Academic Centre PTY. LTD.
2203-6156,2203-6156,UTS ePress|UTS E-Press
2207-1415,2207-1415,UTS ePress|UTS E-Press
2208-598X,2207-9963,
2208-6781,1032-335X,"Walter de Gruyter, Inc.|Exeley Inc.|De Gruyter"
2209-0959,2209-0959,Castledown Publishers|Castledown
2209-1041,2209-1041,Castledown
2209-3591,2209-3591,Castledown
2210-2612,2210-2612,Elsevier
2210-2892,2210-2892,Bentham Science Publishers
2210-4690,2210-464X,Springer|Springer Nature|SpringerOpen
2210-4917,2210-4917,
2210-5174,2210-5174,
2210-8335,2210-8335,
2210-8505,2210-8491,Springer
2211-1522,2211-1522,Springer Nature|Springer|SpringerOpen
2211-2839,2211-2839,Elsevier
2211-2863,2211-2863,Elsevier
2211-9132,2211-9132,
2212-0661,2212-0661,Elsevier
2212-0971,2212-0971,Elsevier
2212-5736,2212-5736,
2212-6090,2212-6090,
2212-7402,0921-142X,Utrecht University Library
2212-9626,2212-9626,
2212-9790,1872-7859,Springer Nature|Springer|SpringerOpen
2213-0209,2213-0209,Elsevier|Elsevier B.V
2213-0586,2213-0578,Elsevier
2213-0896,2213-0896,Elsevier
2213-2902,2213-2902,Elsevier
2213-5960,2213-5960,Elsevier|Elsevier B.V.
2213-7459,2213-7459,Springer|Springer Nature|SpringerOpen
2214-0085,2214-0085,Elsevier B.V.|Elsevier
2214-1812,2214-1812,Elsevier B.V.|Elsevier
2214-2428,2214-2428,Elsevier Ltd|Elsevier
2214-4234,2214-4234,Elsevier|Holy Spirit University of Kaslik
2214-4625,2214-4625,Holy Spirit University Kaslik|Elsevier|Elsevier B.V.
2214-5400,2214-5400,Elsevier
2214-6474,2214-6474,Elsevier
2214-6571,2214-6571,Elsevier
2214-6636,2214-6636,Elsevier|Elsevier Ltd.
2214-6695,2214-6695,Elsevier|Elsevier B.V.
2214-7535,2214-7535,Elsevier
2214-7624,2214-7624,Elsevier
2214-7845,2214-7845,Elsevier|Elsevier Inc.
2214-8965,1386-5870,Utrecht University Library
2214-9910,,
2215-1532,2215-1532,Elsevier|Elsevier B.V.
2215-3047,1409-0937,
2215-3845,1659-3057,
2215-7360,2215-7360,
2215-7794,2145-969X,
2215-7840,2215-7840,
2215-9045,0120-0542,
2215-969X,2011-3188,Universidad de los Andes - Colombia
2216-0701,2216-0701,
2217-3412,2217-3412,
2217-415X,2217-415X,
2217-4303,2217-4303,
2217-544X,2217-544X,
2217-8171,1452-662X,
2217-8546,2217-7221,
2218-2020,2218-2020,
2218-3299,2218-3299,
2218-3620,2218-3620,Universidad de Cienfuegos
2218-3639,2218-3639,
2218-4384,2218-4384,
2218-4511,2218-4511,
2218-6816,2218-6816,
2218-8118,2218-8118,
2218-8185,2218-8185,EL-MED-Pub|El-Med-Pub Publisher
2219-2158,2219-2158,Universal Journal of Computer Science and Engineering Technology
2219-4665,2219-4665,
2219-5440,2219-5440,
2219-7168,2219-7168,
2219-8229,2219-8229,
2219-8342,2219-8342,
2219-8857,2219-8857,
2220-1394,2220-1394,
2220-184X,2073-073X,
2220-2234,1817-7433,Sociedad Cientifica de Estudiantes de Medicina SCEM-UMSS|Sociedad Científica de Estudiantes de Medicina|SciELO
2220-2625,2220-2625,
2220-4075,2220-4075,
2220-4822,2220-4822,
2220-5772,2220-5772,
2220-5799,1607-8322,
2220-7112,0424-9674,
2220-7333,2220-7333,
2220-8860,2220-8860,
2220-9085,2220-9085,
2221-0741,2221-0741,
2221-1012,2221-1012,
2221-1152,2221-1152,
2221-1616,2221-1616,
2221-2434,2221-2434,
2221-2450,0253-5688,
2221-2590,2221-2590,
2221-3872,2221-3872,
2221-4135,2221-4135,
2221-5905,2221-5905,
2221-867X,2221-867X,
2221-8874,2221-8874,
2222-0712,2222-0712,
2222-1808,2222-1808,Elsevier|Elsevier (Singapore) Pte Ltd.
2222-2332,2222-2332,
2222-2480,2222-2480,
2222-2510,2222-2510,
2222-2693,2222-2693,
2222-4173,0254-3486,Sabinet|African Online Scientific Information Systems Ltd.
2222-4254,2222-4254,
2222-6532,2222-6532,
2222-6990,2222-6990,
2222-9833,2222-9833,
2223-0343,2221-1896,
2223-1773,2223-1773,
2223-1781,2223-1781,
2223-2613,2223-2613,
2223-3741,1016-913X,SciELO
2223-3822,2223-3822,
2223-523X,2071-2987,
2223-6589,2223-6589,
2223-6686,2223-6686,
2223-9766,2223-9766,
2224-0020,2224-0020,
2224-0039,1684-4904,Academy of Science of South Africa|Sabinet
2224-1574,0363-3640,
2224-2643,2224-2643,Centro de Estudios Pedagógicos. Universidad de Las Tunas. Cuba.
2224-3259,2224-3240,
2224-4018,2224-4018,"DeGruyter|De Gruyter|Walter de Gruyter, Inc."
2224-4263,2224-4263,
2224-4700,0253-570X,Centro Nacional de Sanidad Agropecuaria|SciELO
2224-6185,0041-8420,SciELO
2224-896X,2224-5758,
2224-9435,1019-9128,African Online Scientific Information Systems Ltd.|Sabinet|Academy of Science of South Africa|SciELO
2225-0506,2224-5782,
2225-0565,2224-607X,
2225-0581,2224-6096,
2225-1154,2225-1154,Multidisciplinary Digital Publishing Institute|MDPI AG
2225-2215,2225-2215,"De Gruyter|Walter de Gruyter, Inc."
2225-4757,1812-2302, International Tennis Federation|ITF Ltd
2225-5141,2225-5141,
2225-5648,2073-2759,
2225-6482,2225-6482,Medknow Publications and Media|Scholar Media Publishing Company|Medknow Publications
2225-658X,2225-658X,
2226-0439,2226-0439,El-Med-Pub|EL-MED-Pub
2226-3063,2226-3063,
2226-3209,2226-3209,
2226-4809,2226-4809,
2226-4817,2226-4817,
2226-7522,2226-7522,
2226-809X,2223-5329,Taiwan Association of Engineering and Technology Innovation
2226-910X,2226-910X,
2226-9339,2226-9339,
2226-9541,2226-9541,
2226-969X,2226-969X,
2227-247X,2227-2437,Medknow Publications|Medknow Publications and Media
2227-4324,2227-4324,Science Publishing Corporation
2227-4332,2227-4332,Science Publishing Corporation
2227-488X,2227-488X,Science Publishing Corporation
2227-524X,2227-524X,Science Publishing Corporation
2227-6394,2227-6394,
2227-9032,2227-9032,Multidisciplinary Digital Publishing Institute|MDPI AG
2227-9075,2227-9075,Multidisciplinary Digital Publishing Institute|MDPI AG
2227-9199,0048-2706,
2227-961X,2227-9601,
2227-9717,2227-9717,Multidisciplinary Digital Publishing Institute|MDPI AG
2228-5318,2228-5318,
2228-5326,2008-9295,Springer Nature|Springer|SpringerOpen|Springer Verlag
2228-5423,2228-5423,
2228-5547,2228-5547,SpringerOpen|Springer Nature|Springer
2228-5814,2228-5806,
2228-6594,2008-0743,
2228-7183,2228-7183,
2228-7469,1735-1448,
2228-7701,2228-7701,
2228-7744,2228-7744,
2228-8082,0125-152X,
2229-2217,2229-2217,
2229-337X,2229-337X,
2229-3469,2229-3469,
2229-3566,2229-3566,
2229-3795,2229-3795,
2229-3809,2229-3809,Scholar Science Journals
2229-4686,2229-4686,
2229-5666,0974-8024,
2229-578X,2229-578X,
2229-5801,0975-5942,
2229-6093,2229-6093,R. Ramachandran
2229-6107,2229-6107,
2229-6727,2229-6727,
2229-6735,2229-6735,
2229-6816,0976-3325,Medsci Publications
2229-6891,2229-6891,
2229-7693,0019-557X,Medknow Publications|Medknow Publications and Media
2229-774X,0300-1652,Medknow Publications and Media|Medknow Publications
2229-838X,2229-838X,
2229-8460,2229-8460,
2229-8924,2180-4788,
2229-8932,2229-8932,
2229-8940,2229-8940,
2229-9114,2229-9114,INTI International University
2229-9327,2229-9327,
2230-2026,2230-2026,Dove Medical Press
2230-2263,2230-2263,Dove Medical Press
2230-2271,2230-2271,Dove Medical Press
2230-2298,2230-2298,Dove Medical Press
2230-245X,2230-245X,Dove Medical Press
2230-2492,2230-2492,Dove Medical Press
2230-3154,2230-3154,Dove Medical Press
2230-3251,2230-3251,Dove Medical Press
2230-3561,2230-3561,Dove Medical Press
2230-4398,2230-4398,
2230-6161,2230-6161,Dove Medical Press
2230-7850,2230-7850,
2230-8407,2230-8407,
2230-8598,2230-8598,Medknow Publications and Media|Phcog.net
2230-861X,2230-7761,
2230-9012,2230-9012,Edorium Journals
2230-9489,2230-9489,
2230-9608,2230-9608,
2230-9632,2230-9632,
2230-9888,2230-9888,
2231-1963,2231-1963,
2231-2250,2231-2250,
2231-2269,2231-2269,
2231-2382,2231-2382,
2231-2587,2231-2587,
2231-2870,2231-2870,
2231-3273,2231-3273,
2231-3788,2231-3788,
2231-4822,2231-4822,
2231-5063,2231-5063,
2231-5268,2231-5268,
2231-5403,2231-5403,
2231-6809,2231-6809,
2231-7007,2231-7007,
2231-8186,2231-8186,
2231-8194,2231-8194,
2231-9700,2231-9700,
2232-0474,2232-0474,
2232-0741,,
2232-1802,2232-1802,
2232-9935,2232-9935,
2233-0186,2233-0186,
2233-1859,2233-1859,
2233-4165,2233-4165,
2233-7849,2233-7849,
2233-7857,2233-7857,
2233-8268,2233-8276,Wolters Kluwer Health
2235-4956,2235-4956,"PAGEPress Scientific Publications, Pavia, Italy|Page Press"
2236-0263,2236-0263,
2236-0972,2236-0972,Universidade Nove de Julho - Uninove
2236-1170,2236-1170,Universidade Federal de Santa Maria
2236-1693,1809-8401,
2236-255X,2236-255X,
2236-2649,2236-2649,Fundação Rosemar Pimentel – Universidade Geraldo Di Biase
2236-269X,2236-269X,"Instituto Federal de Educação, Ciência e Tecnologia de São Paulo (IFSP)"
2236-2983,2236-2983,
2236-3009,2236-3009,
2236-3637,2236-3637,ABEC
2236-3866,2236-3866,
2236-3904,2236-3904,REBG|Universidade Estadual de Campinas
2236-420X,2236-420X,
2236-4633,2236-4633,SciELO - Scientific Eletronic Library Online
2236-6059,1519-5287,Universidade do Oeste de Santa Catarina
2236-6695,2236-6695,
2236-7284,0104-3315,Universidade Federal do Paraná
2236-7632,2236-7632,
2236-8000,2236-8000,
2236-8027,2236-8027,Pontifícia Universidade Católica do Paraná
2236-885X,2236-885X,
2236-8868,2236-8868,
2236-9740,2236-9740,
2236-997X,2236-997X,
2237-0021,2237-0021,Universidade de Caxias do Sul|Editora da Universidade de Caxias do Sul - EDUCS
2237-0587,2237-0587,
2237-0722,2237-0722,
2237-1648,2237-1648,
2237-2202,2237-2202,UFPE|Universidade Federal de Pernambuco
2237-2717,2237-2717,
2237-3667,2237-3667,Universidade Federal de Campina Grande
2237-387X,2237-387X,"Universidade Estadual de Campinas, Instituto de Artes"
2237-4566,2236-0700,
2237-7522,2237-7522,Universidade Federal da Paraíba
2237-8057,2237-8057,Universidade Federal de Roraima
2237-941X,2237-941X,Universidade Federal Fluminense
2237-955X,2237-955X,
2238-0361,2238-0361,Universidade Federal da Bahia-UFBA
2238-2127,2238-2127,
2238-2704,2238-2704,Escola Bahiana de Medicina e Saúde Pública|BAHIANA - School of Medicine and Public Health
2238-3425,2238-3425,Universidade do Estado do Rio de Janeiro
2238-3565,2238-3565,
2238-4782,2238-4782,
2238-5320,2238-5320,
2238-5800,2238-5800,
2238-6270,2238-6270,Universidade Estadual Paulista
2238-7552,2238-7552,
2238-8028,2238-8028,Universidade Federal do Ceará-UFC
2238-8788,2238-8788,
2238-913X,2238-913X,Universidade do Estado do Rio de Janeiro
2238-9504,2238-5630,
2238-9636,2238-9636,EdiUniarp
2239-0243,2239-0243,Firenze University Press - Casalini|Firenze University Press
2239-1118,2239-1118,Firenze University Press|Firenze University Press - Casalini
2239-5725,2239-5725,
2240-7987,1591-0660,
2240-9580,2240-9580,
2241-0090,2241-0090,
2241-0228,2241-0228,
2241-8121,1108-9628,
2241-8407,2241-8407,
2243-7703,2243-7703,
2243-7754,2243-7754,
2243-7770,2243-7770,
2244-7318,2244-7318,
2244-761X,2244-761X,
2244-9140,2244-9140,
2245-3342,2245-3342,
2245-408X,2245-408X,Springer International Publishing|Springer Nature|Springer
2245-5744,2245-5744,
2246-2945,2245-599X,
2247-4404,2247-4404,
2247-4455,2247-4455,
2247-5575,2247-5575,
2247-6202,2067-2764,
2247-6377,2247-6377,
2248-0560,2248-0560,
2248-2164,2248-2164,
2248-2997,2248-2997,
2248-311X,2248-311X,
2248-4728,1909-9746,Universidad Distrital Francisco José de Caldas
2248-7220,0121-3873,
2248-7441,2248-7441,
2248-9010,2248-9010,
2248-9037,2248-9037,
2248-9045,2248-9045,
2248-9509,0971-7587,
2248-9622,2248-9622,
2248-9649,2248-9649,
2249-0213,2249-0213,
2249-071X,2249-071X,
2249-2208,2249-2208,"HealthMinds Consulting Pte, Ltd. "
2249-2666,2249-2666,
2249-2909,2249-2909,
2249-4529,2249-4529,
2249-5576,2229-5984,
2249-5789,2249-5789,
2249-5851,2249-5851,
2249-6580,2249-6580,
2249-7277,2249-7277,
2249-7838,2249-7838,
2249-8265,2249-8257,
2249-894X,2249-894X,
2249-9105,2249-9105,
2249-9342,2249-9342,
2249-9520,0971-7749,Medknow Publications and Media|Medknow Publications
2249-9660,2249-9660,
2250-0359,2250-0359,
2250-0480,2250-0480,IJLPR
2250-1142,2250-1142,
2250-1460,2250-1460,Medknow Publications|Medknow Publications and Media
2250-1819,2249-1260,
2250-3692,2250-3692,
2250-5105,2250-5105,
2250-5504,2250-5490,
2250-7671,0327-6627,
2251-1717,2251-1717,
2251-6085,2251-6085,
2251-6166,2251-6158,
2251-6204,2251-6204,
